,id,genre,track_name,artist_name,duration_ms,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,Mood
46,4HkJr31bgEdCtEHpasC7Jz,ambient,Unity,Bvdub,645200,0.075,0.311,0.6,0.982,0.101,0.0377,-14.994,0.0512,200.024,Sad
47,5hbTbKQXJuZ0qFVerk6jRp,ambient,Emerald and Lime,Brian Eno,182373,0.0736,0.969,0.0983,0.914,0.102,0.0346,-21.111,0.0419,78.008,Calm
48,6Zt2prtf9IhxEUOto4jXH9,ambient,Last Ships,Firekites,250347,0.438,0.76,0.45,0.0096,0.116,0.121,-8.962,0.0271,150.985,Sad
49,1ZsVFKysSROWBWZX3ZG1Gu,ambient,Hope Valley Hill,Helios,318147,0.592,0.72,0.261,0.928,0.729,0.0548,-13.989,0.0285,107.975,Calm
50,24lnq9zfdgA1HvwaDJHlbD,anime,tiny wings,Mashiro Ayano,232720,0.513,0.016,0.945,0.0,0.176,0.561,-3.855,0.0823,147.037,Energetic
51,2RPa74cSuxIqJJGN4uNOEf,anime,my Transform,Prizmmy☆,262387,0.686,0.0339,0.949,0.00306,0.063,0.624,-2.414,0.115,132.988,Energetic
52,6vf6SXndgdSglb4cJ7xYlh,anime,虹の音(Instrumental),Eir Aoi,290227,0.396,0.000334,0.731,0.721,0.118,0.142,-7.926,0.0294,83.993,Sad
53,5EYwYPNoROh0CPxTML5iLj,anime,pastel,ClariS,253133,0.644,0.0908,0.95,0.0258,0.311,0.932,-4.527,0.0387,143.964,Energetic
54,4ewPJxSBjMRfx1CP49dQdI,anime,お先にシルブプレ - piano ver.,Various Artists,114271,0.543,0.964,0.455,0.908,0.198,0.606,-11.976,0.0507,118.849,Calm
55,6wCRMbfnaAXzmnS7sa7LKE,anime,ステラ・ドライブ,"Wake Up, Girls!",246493,0.608,0.17,0.959,5.16e-05,0.514,0.612,-4.342,0.0691,134.045,Energetic
56,6xLetOnSR3bBz7webJwDpq,anime,Rainbow,Kana Nishino,292333,0.627,0.225,0.587,0.0,0.127,0.537,-4.345,0.0316,103.023,Sad
57,7qwLjxMUlRuApZ92pIurYZ,anime,symphonia,Kalafina,344693,0.346,0.0355,0.712,1.62e-06,0.0862,0.162,-5.35,0.0425,132.763,Sad
58,4ZlhlmM8zseVw24xBqRl41,anime,少女S,SCANDAL,191440,0.554,0.00607,0.91,3.57e-06,0.12,0.794,-1.894,0.0448,135.833,Energetic
59,75yLSvVuOZYSA7eWP6ga0z,anime,レモネイドスキャンダル,秋月マキシ(CV:芹澤優),263907,0.552,0.00715,0.957,0.00243,0.299,0.542,-2.297,0.0789,158.995,Energetic
60,5zCkIeu30nvbhCK5r7Tllq,black-metal,God Of Forbidden Light,Dissection,222253,0.414,8.91e-06,0.87,0.646,0.301,0.703,-3.831,0.039,61.659,Happy
61,0AE1wd4ZOIDl1GpO8EBQfp,black-metal,Vinterskugge,Isengard,316747,0.171,0.0294,0.932,0.78,0.402,0.271,-4.047,0.059,113.447,Happy
62,12NGrsjdeRyM7XtYTirCsy,black-metal,Cosmic Keys To My Creations And Times,Emperor,366000,0.0935,8.13e-06,0.964,0.865,0.248,0.0385,-6.548,0.0818,162.144,Energetic
63,5B1nnnV9EujhXHNxht2m86,black-metal,White Seed,Gorgoroth,276920,0.167,1.02e-05,0.966,0.961,0.335,0.0628,-4.721,0.0871,112.4,Energetic
64,0R5n2Y8tE8hPvMFKLQfXD1,black-metal,The Winds Of Mayhem,Bathory,191693,0.352,1.03e-06,0.955,0.347,0.235,0.382,-8.727,0.0709,107.719,Energetic
65,4LlDBiEhJqQYjsvoOKQIqR,black-metal,Hymn to Qayin,Watain,357840,0.185,5.7e-06,0.877,0.918,0.263,0.18,-6.012,0.0755,170.288,Happy
66,6HNupgFhT9hhboHa8lN0vB,black-metal,Dance Of The Mortal Lust,Windir,344007,0.243,3.03e-06,0.925,0.927,0.0496,0.122,-4.733,0.0738,167.915,Happy
67,1rUNBnYAYqA1XRPiHAnJ0L,black-metal,Ye Entrancepmerium,Emperor,314907,0.141,7.68e-05,0.938,0.879,0.434,0.0359,-4.221,0.065,139.186,Happy
68,4x9DzTTO2ZQCnHYMp4xiXV,black-metal,Starless Aeon,Dissection,239227,0.37,1.75e-05,0.935,0.563,0.0822,0.477,-4.433,0.0736,164.364,Energetic
69,3dJA0TwYwZxWSbFA99A2dx,black-metal,Underdogs and Overlords,Darkthrone,241800,0.138,0.00334,1.0,0.178,0.446,0.0357,-1.934,0.171,145.079,Energetic
70,0uC2l0FSGo1TkIfkAC34IB,bluegrass,This Life,The Devil Makes Three,209773,0.647,0.743,0.659,0.0,0.973,0.773,-8.397,0.0344,108.594,Happy
71,7iy7xGtQY1jcSIJRLk2cNg,bluegrass,Brakeman's Blues,Chris Thile,222387,0.548,0.802,0.655,0.145,0.197,0.882,-10.124,0.0337,120.875,Sad
72,32sdAjNcCA2SalbwUWA3I5,bluegrass,Half Of What We Know,Crooked Still,242573,0.554,0.884,0.461,0.148,0.102,0.532,-9.646,0.0289,113.942,Sad
73,2gE58DQyqgsvsK87SWUN62,bluegrass,Where Rainbows Never Die,The Steeldrivers,229880,0.603,0.921,0.341,0.00314,0.102,0.365,-8.892,0.0264,113.452,Sad
74,4eenm6SaIRCONAtZKjj3mf,bluegrass,Gotta Travel On,Bill Monroe,153973,0.645,0.718,0.561,0.0267,0.35,0.831,-9.809,0.0339,127.964,Sad
75,6C37Thprsz5GG12bI0q2mL,bluegrass,Fortunate Son,Pickin' On Series,237840,0.512,0.325,0.769,0.923,0.0686,0.86,-7.297,0.029,139.43,Sad
76,7oKm94sc382ss1EhS48TCg,bluegrass,Girl Of The North Country,Sam Bush,317788,0.564,0.82,0.551,0.0144,0.915,0.677,-8.251,0.0318,92.588,Sad
77,6ICYs37HPIzaqKyJf8kqFN,bluegrass,Not With Haste,Mumford & Sons,247027,0.391,0.552,0.475,0.000217,0.119,0.108,-10.106,0.0307,133.443,Sad
78,1LZlA6PJ6FCJEwUwPwgUh8,bluegrass,Pretty Polly,Ralph Stanley,216200,0.474,0.0624,0.398,0.00367,0.182,0.556,-11.902,0.0302,146.349,Happy
79,6VuEA3TS0oZNL5oE1mwjX6,bluegrass,Nashville Cats,The Del McCoury Band,224400,0.67,0.623,0.541,7.56e-06,0.25,0.783,-13.228,0.0348,108.777,Sad
80,2WA1bjJmejhimkPEAJZIAw,blues,Chills & Thrills,Bernard Allison,275733,0.723,0.00357,0.657,0.0179,0.0563,0.803,-5.372,0.0429,116.175,Happy
81,1YGQEFGvnMbA60JIp4KTFZ,blues,Goin' Down Slow,Various Artists,234667,0.5,0.0646,0.529,0.00292,0.0982,0.433,-8.137,0.0416,82.179,Sad
82,21WrPeWVmWWBAx0dXYck9L,blues,What'd I Say,Ray Charles & Friends,386560,0.506,0.657,0.618,2.31e-05,0.248,0.789,-11.278,0.0708,89.023,Sad
83,75HEhaEvDqxwtr6v8o1LFl,blues,Standing At The Crossroads - Remastered,Elmore James,165424,0.71,0.906,0.541,0.0543,0.0507,0.776,-10.139,0.0417,106.112,Sad
84,3wPBFBse6Bg9tbHV7Pp5xU,blues,"Someone Else Is Steppin' In (Slippin' Out, Slippin' In)",Buddy Guy,261507,0.496,0.128,0.864,3.7e-05,0.719,0.699,-7.616,0.158,103.884,Energetic
85,6yon8Hb3Ur7aXXjfy4dLkd,blues,Fixin' To Die,Various Artists,169041,0.588,0.882,0.299,0.695,0.117,0.623,-10.933,0.0374,109.451,Sad
86,7JjdBl8XZvcBzK6crOKCoS,blues,Sweet Little Angel,B.B. King,356693,0.362,0.716,0.407,0.0111,0.651,0.32,-13.347,0.0538,180.674,Sad
87,7A9rUcLyatjR0FvJFkmfIw,blues,Too Rolling Stoned - 2007 Remastered Version,Robin Trower,451893,0.529,0.00314,0.622,0.466,0.0979,0.37,-8.768,0.0466,124.622,Sad
88,0XwDLrcIlpTZM6MrzCVUXu,blues,Do The Do,Howlin' Wolf,143827,0.628,0.296,0.622,0.0796,0.387,0.816,-15.114,0.0459,99.99,Happy
89,5vRhIG3VXBzHbf7XiNT0vq,blues,Let It Grow,Eric Clapton,298067,0.421,0.189,0.508,0.277,0.298,0.265,-9.383,0.0247,77.645,Sad
90,4K3TwoLkMCaptrOc5bTcY3,bossanova,Tenha Pena de Mim,Elza Soares,164587,0.667,0.663,0.578,0.0,0.158,0.914,-5.521,0.0271,99.969,Sad
91,4ipc1Wpcj2IBhLJCCAKgBg,bossanova,Tarde em Itapoan,Vinícius de Moraes,242627,0.365,0.522,0.587,8.26e-06,0.0841,0.539,-7.107,0.0395,135.84,Sad
92,3CvsFcz8xJGPGvBrZhNtdw,bossanova,Samba e Amor,Chico Buarque,199827,0.746,0.989,0.0907,0.912,0.0875,0.399,-16.305,0.0613,110.981,Calm
93,52IbMh9sgVaMzRu2yIaNy2,bossanova,Moon River,Laurindo Almeida and The Bossa Nova All Stars,122096,0.601,0.779,0.321,0.146,0.151,0.828,-16.353,0.0403,95.831,Sad
94,2MZdrGZdYbO8ycWlpzvIr5,bossanova,Vivo Sonhando - Dreamer,Palmyra & Levita,167107,0.568,0.986,0.204,0.00164,0.114,0.222,-14.556,0.0495,143.928,Sad
95,00atywJHIvpX8QqfSPL8XC,bossanova,Se e Tarde Me Perdoa,Joao Gilberto & Astrud Gilberto,105733,0.452,0.903,0.127,4.4e-05,0.123,0.57,-20.633,0.042,65.1,Sad
96,2ht7HY6wWB1gdzOgOiokbn,bossanova,Samba do Avião,Various Artists,197867,0.545,0.828,0.459,0.0,0.946,0.278,-12.752,0.0334,152.545,Sad
97,0Y8J9GJ1rEHidrtcNxsh8e,bossanova,Words,Bebel Gilberto,150253,0.748,0.944,0.0886,0.000738,0.113,0.103,-18.541,0.0348,80.078,Sad
98,3iVSDKctQavzutfAb0OZMs,bossanova,Lollipops and Roses,Laurindo Almeida and The Bossa Nova All Stars,152084,0.372,0.153,0.389,0.00599,0.336,0.914,-17.098,0.043,87.124,Happy
99,06aeCUBLdR0nU2x7V2WZtM,bossanova,Canto Do Caboclo Pedra Preta,Vinícius de Moraes,220267,0.437,0.674,0.645,1.13e-05,0.21,0.592,-10.842,0.083,113.184,Sad
100,1tg4ajDHN3Cr5o7arUtN5k,brazil,Me encontra,Various Artists,211467,0.395,0.0327,0.954,0.000123,0.124,0.686,-3.878,0.0555,178.001,Energetic
101,5ruFO5Cbjvljsh3ItsDmp8,brazil,Keep Me In Mind,Little Joy,144547,0.619,0.0372,0.709,0.731,0.0814,0.963,-6.958,0.0326,122.992,Happy
102,6hwrxnBXln6pXeMJc6b6Im,brazil,Agua De Beber,Astrud Gilberto,139253,0.639,0.394,0.351,1.01e-06,0.0712,0.815,-15.446,0.04,148.057,Sad
103,14zHULg93hiSpMR71IzMs3,brazil,Anna Júlia,Various Artists,212493,0.419,0.0455,0.809,1.28e-05,0.108,0.449,-5.284,0.0384,148.08,Energetic
104,4lqJizVlijumu0Jn7dXnbC,brazil,Gostava Tanto De Você,Tim Maia,253640,0.52,0.399,0.945,1.07e-05,0.0259,0.862,-7.163,0.0931,89.603,Happy
105,7MnT7msJZg3XBAS0OTfGrB,brazil,Tempo Perdido,Legião Urbana,302200,0.293,0.0079,0.662,0.00112,0.271,0.221,-13.076,0.0486,186.007,Energetic
106,4BeiDtscDgxVe9PazLUPSj,brazil,11 Vidas,Lucas Lucco,189893,0.624,0.804,0.622,0.0,0.155,0.457,-5.78,0.03,140.021,Sad
107,6QFgHM8uU0pqZNX1opZS8N,brazil,Melhor do Que Ontem,Capital Inicial,239587,0.436,0.086,0.799,0.0,0.081,0.561,-6.999,0.03,159.89,Energetic
108,5YQPOIAt3U7DMAswTVvzax,brazil,Eu Sei,Papas Da Língua,232120,0.44,0.59,0.613,0.0,0.935,0.397,-8.234,0.0301,108.087,Happy
109,6zQTiw3M1p58eklHhCBWyi,brazil,Coisas Que Eu Sei,Danni Carlos,232093,0.694,0.877,0.352,0.0,0.0937,0.401,-14.312,0.0728,119.969,Sad
110,3ntu2NJd9xFN8lPXa9Gzh1,breakbeat,I Get Lifted,KC & The Sunshine Band,183577,0.825,0.00186,0.649,0.000885,0.049,0.921,-8.913,0.0444,106.182,Happy
111,02G4zfV9qNd9AvOqJcjtTr,breakbeat,Get The Fuck Up,Krafty Kuts,348764,0.931,0.000952,0.739,0.6,0.142,0.475,-6.607,0.243,132.021,Energetic
112,0bbvFKqow13LQyMjZX8GCz,breakbeat,Bug,Agent K,190560,0.58,0.000191,0.962,0.472,0.17,0.682,-6.464,0.0483,136.016,Energetic
113,02uRToy7bttYcKCO3vIStA,breakbeat,Hit That Jive,Gramatik,203051,0.896,0.0461,0.684,0.051,0.164,0.686,-6.099,0.0731,99.995,Happy
114,2PDUK1RDiX0McDLGburc1B,breakbeat,Sesame Street,Blowfly,154027,0.813,0.455,0.712,0.000421,0.14,0.61,-13.031,0.169,119.254,Happy
115,4Xi7rFOjrH43p3A3qNu3TD,breakbeat,Never Been,Dub Phizix,367244,0.582,0.0721,0.538,0.0598,0.102,0.257,-9.431,0.332,115.977,Energetic
116,7wEMSq7BC5WdEvTB6bk4Ro,breakbeat,Breaking Free - Original 1994 Slipmatt Mix,Slipmatt,340986,0.58,0.048,0.997,0.932,0.0772,0.772,-3.736,0.0855,156.936,Happy
117,1eYB103KuhSNFXmXhp58nP,breakbeat,Be Good - NAPT Remix,Various Artists,269551,0.787,0.0054,0.946,0.859,0.108,0.83,-6.939,0.0701,130.002,Happy
118,3BMvkFBakQKH7eyCTOceKx,breakbeat,Jericho,The Prodigy,223867,0.608,1.46e-05,0.81,0.764,0.32,0.392,-11.15,0.0481,140.033,Happy
119,42iBqLosPxTVZDTWkdQRpt,breakbeat,Good To Go,Agent K,120920,0.619,0.000546,0.935,0.76,0.4,0.397,-8.994,0.0453,135.993,Energetic
120,7jtGa7FmUx7YxTbiy6tEsX,british,Don't You (Forget About Me) - 2001 Remastered Version,Various Artists,260667,0.661,0.125,0.777,0.0313,0.311,0.718,-7.788,0.0273,111.102,Happy
121,24fQpRwKFkC3Fe8QtvvrNw,british,Back for Good - Radio Mix,Take That,242267,0.601,0.31,0.504,0.0,0.137,0.564,-9.761,0.0284,78.986,Sad
122,5K16Je2j1RTFrh7VqjEPcl,british,House Of Fun,Madness,171707,0.725,0.465,0.934,0.00116,0.169,0.985,-4.684,0.0288,127.39,Happy
123,3caSGRAL5Q3b4SVKNQKAGQ,british,What About Us,The Saturdays,204523,0.679,0.00608,0.63,4.59e-06,0.0984,0.656,-5.515,0.0399,124.016,Happy
124,4NtmaDFb2gT2MyYVtnK1sq,british,Down In The Tube Station At Midnight - Full Version,The Jam,282355,0.284,0.0494,0.706,1.96e-06,0.0891,0.657,-11.307,0.114,172.82,Energetic
125,433EQGQOsQjWvD5eImXkHf,british,This Is the One - Remastered,The Stone Roses,299320,0.247,0.00133,0.784,0.0369,0.558,0.345,-7.452,0.0514,126.679,Energetic
126,1Q8reqCOXg2yqNr47HGo9X,british,Norgaard,The Vaccines,98400,0.323,5.12e-06,0.847,0.0208,0.25,0.859,-4.716,0.0348,173.914,Energetic
127,6FBpIPlWYCQyXiJsmIDTOV,british,Some Might Say,Oasis,328533,0.242,0.0391,0.954,0.107,0.13,0.164,-2.297,0.0835,110.057,Energetic
128,6HFbq7cewJ7rPiffV0ciil,british,A Sky Full of Stars,Coldplay,267867,0.545,0.00617,0.675,0.00197,0.209,0.162,-6.474,0.0279,124.97,Happy
129,3gkHdx2M7xmHWSP3fztytH,cantopop,Baby Don't Cry,William Chan,227613,0.704,0.0146,0.806,6.24e-05,0.0789,0.656,-6.133,0.0304,128.951,Happy
130,3iALSfsgC7OUTel9f2Ohqh,cantopop,二人行一日後,Andy Hui,233413,0.422,0.117,0.603,0.0,0.206,0.46,-8.537,0.0315,181.986,Happy
131,0AoxEzTddLut694E1ZZesU,cantopop,准我留下,Jia Liang Luo,285347,0.529,0.438,0.29,0.0,0.239,0.183,-13.812,0.0272,84.026,Sad
132,423hxMWEkp9pdt3VuJs7d7,cantopop,南方舞廳,周耀輝,233213,0.698,0.241,0.628,0.000232,0.137,0.631,-6.494,0.0241,106.007,Happy
133,4VuL4HSCrVvf0JOS6PHdck,cantopop,畫意,Ivana Wong,202787,0.623,0.792,0.256,0.0,0.114,0.466,-11.677,0.0468,110.71,Sad
134,2bisPw3movfZBqzZ4CrvOI,cantopop,Nian Du Zhi Ge,Kay Tse,240627,0.494,0.8,0.347,0.0,0.122,0.378,-9.727,0.0315,107.2,Sad
135,08MJ2KleC7uJmYnGhoDkri,cantopop,大家好過,唐素琪,232347,0.715,0.701,0.267,0.0,0.105,0.5,-9.517,0.0319,93.895,Sad
136,0f9Jg9aqlPOLeWydztw21c,cantopop,共你傷心過,Andy Lau,206733,0.665,0.588,0.439,0.0,0.092,0.679,-12.112,0.0385,140.109,Sad
137,2ai9Lf8QujrrqdUmDsWhoG,cantopop,無力挽回,Pakho Chau,241634,0.609,0.384,0.431,0.0,0.116,0.266,-8.529,0.0309,130.096,Sad
138,1ZOusIYPmggh5UrPJV835c,cantopop,一時無兩,Twins,205979,0.773,0.714,0.646,0.0,0.346,0.946,-4.608,0.0401,117.984,Happy
139,24PPkraxJYtBW38OMIWnKB,chicago-house,Body Mechanic,Various Artists,380592,0.686,0.000193,0.796,0.547,0.243,0.762,-11.752,0.041,126.229,Happy
140,3lzzAHJwHjSpA71ftgzDeX,chicago-house,Hallelujah - Club Mix,Happy Mondays,389493,0.62,0.00315,0.908,0.19,0.417,0.575,-6.773,0.0349,98.009,Happy
141,4ic8gCPbXXV9iRkSGDJrrA,chicago-house,Never Gonna Get Enough,Various Artists,197120,0.755,0.00869,0.837,0.909,0.0343,0.798,-9.762,0.144,124.126,Energetic
142,4Jcul2iq2MMfOOFN5KqWOi,chicago-house,Get in Line,Art Ensemble Of Chicago,345400,0.402,0.786,0.517,0.282,0.0976,0.671,-10.483,0.193,128.238,Sad
143,5T42BKBpIOkt2YnqKA0hC6,chicago-house,A Path - Original Mix,Various Artists,318000,0.705,0.0283,0.45,0.00205,0.0903,0.809,-14.29,0.0486,121.673,Happy
144,2OI9jQnd0A1vR2KuJkK1TD,chicago-house,Trapped,Colonel Abrams,383704,0.808,0.000286,0.457,0.0124,0.054,0.716,-14.118,0.0628,123.83,Happy
145,31md6HqK3S8zIYkFVmbfRP,chicago-house,Fun With Bad Boys,Various Artists,300920,0.816,0.00991,0.49,0.142,0.0923,0.899,-12.573,0.0561,121.26,Happy
146,3UjH6apk0ogZeIqhHbjrRU,chicago-house,Trans-Europe Express - 2009 Remaster,Kraftwerk,397373,0.878,0.0559,0.611,0.838,0.0527,0.718,-12.221,0.118,107.65,Sad
147,0o8M8Vucqd8kAidcWyQMRZ,chicago-house,Slim's Boogie,Memphis Slim,163587,0.654,0.98,0.601,0.453,0.189,0.692,-11.349,0.137,92.5,Sad
148,1kAAx2bxZFZ9tAsFvq66E9,chicago-house,A Touch Of Jazz - Lifestyles Of The Rich mix,Various Artists,396650,0.805,0.00153,0.705,0.909,0.0531,0.861,-10.374,0.0566,126.69,Happy
149,2ZQyksYO4zzhyHNcueL0CP,children,Home,Phillip Phillips,209227,0.592,0.0215,0.792,0.0,0.159,0.293,-5.884,0.0335,121.001,Happy
